index,female_bmi,female_stature_mm
427,30.8,1680.0
428,36.2,1614.0
429,26.2,1578.0
430,31.3,1633.0
431,35.8,1671.0
432,28.0,1600.0
433,20.7,1518.0
434,29.9,1549.0
435,27.9,1442.0
436,27.4,1622.0
437,22.7,1696.0
438,38.4,1542.0
439,24.4,1361.0
440,27.5,1592.0
441,19.6,1466.0
442,37.8,1620.0
443,37.0,1511.0
444,21.2,1501.0
445,42.9,1534.0
446,39.7,1567.0
447,27.7,1650.0
448,25.2,1630.0
449,28.6,1631.0
450,25.0,1601.0
451,25.0,1662.0
452,41.7,1492.0
453,24.8,1624.0
454,22.8,1570.0
455,25.2,1596.0
456,22.0,1570.0
457,21.4,1657.0
458,29.0,1670.0
459,30.0,1603.0
460,43.4,1565.0
461,25.5,1631.0
462,22.5,1660.0
463,39.3,1577.0
464,32.5,1603.0
465,29.1,1649.0
466,22.9,1511.0
467,33.4,1478.0
468,41.8,1627.0
469,23.7,1474.0
470,26.7,1680.0
471,23.4,1626.0
472,34.1,1548.0
473,25.2,1456.0
474,34.1,1493.0
475,27.7,1645.0
476,26.2,1654.0
477,29.5,1593.0
478,27.8,1625.0
479,34.6,1562.0
480,31.4,1491.0
481,21.9,1657.0
482,26.6,1442.0
483,29.3,1585.0
484,23.4,1495.0
485,20.6,1541.0
486,37.1,1617.0
487,32.8,1632.0
488,36.8,1467.0
489,46.0,1632.0
490,33.7,1703.0
491,31.4,1534.0
492,35.9,1605.0
493,40.3,1672.0
494,20.4,1602.0
495,23.4,1579.0
496,22.5,1600.0
497,23.2,1565.0
498,28.3,1567.0
499,41.9,1564.0
500,30.1,1643.0
501,26.0,1663.0
502,29.0,1660.0
503,28.9,1601.0
504,33.8,1520.0
505,20.8,1605.0
506,29.5,1601.0
507,29.4,1694.0
508,33.8,1612.0
509,24.8,1574.0
510,34.6,1543.0
511,32.4,1509.0
512,42.4,1684.0
513,32.1,1454.0
514,35.9,1661.0
515,51.8,1546.0
516,27.3,1629.0
517,28.9,1537.0
518,36.8,1682.0
519,34.1,1634.0
520,29.4,1547.0
521,40.1,1464.0
522,35.1,1590.0
523,19.7,1624.0
524,35.7,1618.0
525,26.5,1528.0
526,38.3,1647.0
527,24.2,1569.0
528,39.1,1638.0
529,21.6,1679.0
530,26.0,1459.0
531,24.0,1728.0
532,26.7,1648.0
533,39.1,1589.0
534,24.8,1566.0
535,22.1,1576.0
536,19.3,1577.0
537,37.8,1590.0
538,27.7,1638.0
539,46.1,1595.0
540,34.8,1426.0
541,36.4,1699.0
542,21.4,1622.0
543,35.2,1496.0
544,26.8,1684.0
545,22.5,1605.0
546,24.6,1606.0
547,25.1,1499.0
548,23.6,1490.0
549,27.0,1548.0
550,19.1,1641.0
551,30.1,1614.0
552,30.5,1617.0
553,36.0,1566.0
554,23.4,1587.0
555,28.9,1677.0
556,64.7,1669.0
557,25.0,1677.0
558,28.9,1548.0
559,27.2,1515.0
560,31.2,1520.0
561,39.1,1561.0
562,41.1,1681.0
563,44.2,1491.0
564,31.5,1580.0
565,28.1,1583.0
566,19.3,1614.0
567,31.2,1630.0
568,42.7,1506.0
569,34.4,1640.0
570,29.5,1498.0
571,25.4,1561.0
572,25.9,1617.0
573,35.0,1670.0
574,33.3,1556.0
575,30.4,1486.0
576,23.1,1833.0
577,30.8,1644.0
578,20.8,1584.0
579,16.8,1562.0
580,47.2,1650.0
581,34.2,1561.0
582,31.7,1494.0
583,23.0,1662.0
584,40.7,1576.0
585,30.1,1568.0
586,32.1,1614.0
587,25.9,1437.0
588,26.4,1520.0
589,24.9,1525.0
590,23.9,1574.0
591,20.2,1603.0
592,26.9,1520.0
593,33.1,1671.0
594,21.1,1576.0
595,43.0,1613.0
596,36.2,1484.0
597,27.9,1515.0
598,33.3,1615.0
599,28.9,1579.0
600,31.8,1774.0
601,19.9,1572.0
602,27.3,1658.0
603,38.7,1440.0
604,29.4,1666.0
605,33.9,1616.0
606,30.4,1602.0
607,34.1,1509.0
608,31.1,1508.0
609,32.5,1711.0
610,27.4,1535.0
611,24.4,1621.0
612,44.9,1511.0
613,24.4,1617.0
614,24.6,1582.0
615,27.9,1595.0
616,27.8,1529.0
617,18.9,1606.0
618,19.7,1536.0
619,43.1,1686.0
620,29.0,1552.0
621,28.2,1592.0
622,22.6,1685.0
623,22.0,1480.0
624,29.0,1541.0
625,51.3,1590.0
626,23.8,1546.0
627,36.7,1542.0
628,34.0,1646.0
629,29.0,1528.0
630,43.3,1675.0
631,33.0,1662.0
632,21.6,1519.0
633,53.5,1531.0
634,30.4,1583.0
635,25.8,1639.0
636,26.4,1615.0
637,22.4,1538.0
638,21.6,1546.0
639,21.6,1565.0
640,40.0,1682.0
641,26.8,1568.0
642,26.4,1592.0
643,31.9,1527.0
644,41.1,1607.0
645,30.2,1551.0
646,35.1,1636.0
647,27.6,1682.0
648,19.3,1534.0
649,23.6,1555.0
650,22.8,1469.0
651,35.8,1738.0
652,32.7,1797.0
653,24.6,1562.0
654,24.2,1543.0
655,27.3,1612.0
656,36.2,1354.0
657,27.6,1540.0
658,38.7,1592.0
659,27.0,1566.0
660,33.1,1647.0
661,49.4,1566.0
662,31.5,1642.0
663,20.3,1552.0
664,25.2,1669.0
665,30.6,1502.0
666,31.2,1676.0
667,29.0,1498.0
668,26.6,1547.0
669,23.7,1414.0
670,25.4,1614.0
671,34.6,1638.0
672,20.6,1491.0
673,27.0,1642.0
674,35.0,1574.0
675,36.2,1536.0
676,24.6,1582.0
677,31.3,1632.0
678,36.9,1491.0
679,22.6,1669.0
680,48.9,1671.0
681,30.5,1498.0
682,36.8,1617.0
683,27.2,1609.0
684,28.6,1663.0
685,17.8,1602.0
686,33.7,1451.0
687,28.6,1607.0
688,26.1,1590.0
689,28.2,1531.0
690,26.7,1604.0
691,37.1,1608.0
692,29.0,1661.0
693,31.2,1625.0
694,33.7,1645.0
695,33.8,1517.0
696,29.4,1618.0
697,33.3,1670.0
698,36.0,1501.0
699,29.7,1475.0
700,37.8,1641.0
701,35.1,1601.0
702,26.1,1633.0
703,34.3,1609.0
704,24.9,1520.0
705,26.5,1574.0
706,22.9,1512.0
707,29.7,1633.0
708,36.2,1576.0
709,31.0,1491.0
710,34.5,1595.0
711,47.1,1596.0
712,43.2,1606.0
713,26.7,1588.0
714,29.6,1610.0
715,27.9,1603.0
716,46.4,1575.0
717,25.5,1598.0
718,20.7,1560.0
719,30.3,1575.0
720,17.6,1572.0
721,25.7,1606.0
722,38.8,1576.0
723,37.8,1540.0
724,35.8,1621.0
725,32.4,1684.0
726,22.1,1556.0
727,36.4,1631.0
728,31.5,1585.0
729,29.2,1572.0
730,32.0,1580.0
731,33.5,1618.0
732,30.5,1664.0
733,17.2,1667.0
734,29.9,1488.0
735,22.8,1626.0
736,27.2,1584.0
737,23.6,1566.0
738,41.4,1565.0
739,28.5,1689.0
740,39.3,1594.0
741,26.8,1619.0
742,55.7,1611.0
743,27.2,1604.0
744,33.2,1637.0
745,28.1,1571.0
746,35.6,1549.0
747,30.6,1663.0
748,77.5,1446.0
749,28.5,1558.0
750,38.4,1578.0
751,32.5,1559.0
752,19.3,1553.0
753,29.1,1561.0
754,25.6,1481.0
755,21.9,1700.0
756,34.0,1583.0
757,26.9,1620.0
758,42.4,1582.0
759,28.2,1695.0
760,28.3,1554.0
761,27.8,1649.0
762,22.2,1623.0
763,39.8,1632.0
764,32.0,1702.0
765,30.8,1610.0
766,33.1,1480.0
767,30.2,1600.0
768,22.4,1505.0
769,26.9,1536.0
770,23.6,1547.0
771,44.9,1677.0
772,28.5,1548.0
773,35.3,1630.0
774,24.4,1575.0
775,31.3,1649.0
776,19.5,1570.0
777,23.8,1720.0
778,55.6,1680.0
779,26.2,1622.0
780,32.2,1644.0
781,37.1,1500.0
782,34.2,1532.0
783,23.1,1605.0
784,27.7,1665.0
785,35.0,1625.0
786,19.4,1446.0
787,31.0,1681.0
788,28.0,1665.0
789,20.3,1607.0
790,28.0,1571.0
791,27.4,1626.0
792,54.9,1534.0
793,24.9,1677.0
794,33.7,1493.0
795,37.7,1682.0
796,29.8,1574.0
797,26.6,1536.0
798,22.8,1574.0
799,22.3,1690.0
800,25.8,1723.0
801,27.8,1609.0
802,23.3,1592.0
803,34.2,1657.0
804,28.2,1665.0
805,38.0,1607.0
806,28.2,1578.0
807,38.1,1700.0
808,28.6,1485.0
809,38.0,1591.0
810,20.7,1579.0
811,30.4,1635.0
812,24.8,1541.0
813,32.5,1698.0
814,39.1,1721.0
815,24.9,1514.0
816,24.0,1568.0
817,34.8,1573.0
818,50.4,1530.0
819,29.5,1474.0
820,22.1,1609.0
821,38.9,1544.0
822,30.9,1609.0
823,25.2,1627.0
824,22.4,1428.0
825,32.9,1507.0
826,29.1,1532.0
827,24.9,1582.0
828,20.2,1653.0
829,26.2,1593.0
830,28.3,1540.0
831,24.7,1572.0
832,17.6,1583.0
833,31.2,1473.0
834,26.7,1503.0
835,22.1,1614.0
836,36.7,1581.0
837,23.9,1706.0
838,21.8,1604.0
839,34.1,1668.0
840,23.1,1623.0
841,36.4,1563.0
842,18.8,1552.0
843,24.2,1648.0
844,32.7,1599.0
845,28.8,1445.0
846,30.5,1630.0
847,24.6,1550.0
848,23.2,1454.0
849,30.4,1651.0
850,50.8,1643.0
851,32.7,1668.0
852,28.0,1585.0
853,36.0,1606.0
854,33.1,1621.0
855,35.0,1534.0
856,31.3,1479.0
857,37.2,1534.0
858,32.8,1601.0
859,30.4,1579.0
860,27.1,1558.0
861,42.2,1561.0
862,22.8,1590.0
863,26.0,1574.0
864,37.5,1543.0
865,34.4,1609.0
866,43.8,1696.0
867,28.1,1462.0
868,43.1,1501.0
869,35.3,1576.0
870,17.3,1517.0
871,23.4,1482.0
872,23.7,1467.0
873,28.0,1582.0
874,45.2,1568.0
875,25.8,1541.0
876,30.7,1557.0
877,32.6,1508.0
878,16.3,1479.0
879,21.3,1628.0
880,26.0,1650.0
881,30.2,1692.0
882,28.2,1564.0
883,24.4,1496.0
884,31.3,1599.0
885,42.0,1592.0
886,28.1,1587.0
887,26.5,1492.0
888,26.1,1742.0
889,38.9,1459.0
890,40.4,1708.0
891,23.6,1674.0
892,31.4,1546.0
893,28.8,1528.0
894,34.2,1658.0
895,43.2,1642.0
896,23.9,1508.0
897,29.3,1560.0
898,21.1,1710.0
899,25.3,1582.0
900,36.5,1577.0
901,21.6,1623.0
902,50.3,1626.0
903,17.7,1596.0
904,20.3,1780.0
905,29.0,1515.0
906,18.6,1612.0
907,37.1,1674.0
908,21.1,1645.0
909,33.3,1550.0
910,30.2,1409.0
911,22.1,1645.0
912,40.6,1572.0
913,30.7,1629.0
914,42.8,1544.0
915,21.5,1609.0
916,34.0,1614.0
917,25.4,1581.0
918,27.3,1482.0
919,29.4,1416.0
920,29.3,1627.0
921,22.8,1581.0
922,28.3,1489.0
923,32.3,1583.0
924,28.5,1571.0
925,28.5,1549.0
926,34.7,1642.0
927,40.3,1603.0
928,38.7,1549.0
929,27.5,1438.0
930,24.5,1587.0
931,26.2,1542.0
932,27.4,1543.0
933,28.1,1471.0
934,31.6,1430.0
935,31.2,1543.0
936,24.5,1519.0
937,20.3,1686.0
938,38.1,1634.0
939,23.4,1526.0
940,19.0,1551.0
941,26.7,1505.0
942,34.5,1625.0
943,63.0,1603.0
944,44.0,1546.0
945,25.8,1619.0
946,26.6,1684.0
947,32.8,1624.0
948,30.7,1554.0
949,34.0,1479.0
950,29.2,1605.0
951,40.6,1520.0
952,50.6,1572.0
953,25.5,1644.0
954,23.9,1618.0
955,18.7,1594.0
956,40.9,1612.0
957,33.8,1524.0
958,29.8,1505.0
959,33.1,1557.0
960,34.7,1659.0
961,26.2,1525.0
962,32.0,1593.0
963,27.2,1597.0
964,28.5,1638.0
965,24.4,1450.0
966,37.7,1515.0
967,22.5,1673.0
968,24.6,1638.0
969,42.0,1633.0
970,33.7,1605.0
971,25.5,1699.0
972,21.2,1617.0
973,24.7,1475.0
974,27.1,1653.0
975,32.0,1571.0
976,39.1,1517.0
977,33.0,1545.0
978,27.6,1442.0
979,41.2,1517.0
980,28.2,1599.0
981,18.3,1481.0
982,32.5,1662.0
983,38.1,1537.0
984,26.1,1594.0
985,28.9,1577.0
986,23.9,1551.0
987,27.7,1477.0
988,30.3,1519.0
989,31.5,1691.0
990,35.3,1492.0
991,28.8,1518.0
992,33.3,1510.0
993,40.8,1533.0
994,22.2,1728.0
995,25.8,1618.0
996,24.9,1481.0
997,25.8,1640.0
998,24.8,1694.0
999,39.3,1589.0
1000,34.4,1628.0
1001,19.3,1426.0
1002,21.6,1636.0
1003,28.1,1563.0
1004,36.1,1613.0
1005,23.8,1645.0
1006,32.8,1513.0
1007,24.1,1617.0
1008,32.6,1578.0
1009,41.5,1534.0
1010,24.7,1582.0
1011,24.7,1550.0
1012,36.5,1603.0
1013,33.8,1493.0
1014,34.7,1598.0
1015,30.0,1436.0
1016,36.3,1469.0
1017,26.4,1581.0
1018,43.4,1518.0
1019,33.9,1599.0
1020,33.9,1561.0
1021,34.4,1544.0
1022,35.9,1623.0
1023,35.3,1562.0
1024,27.5,1607.0
1025,32.2,1528.0
1026,31.6,1524.0
1027,40.6,1592.0
1028,41.9,1639.0
1029,37.4,1575.0
1030,22.4,1603.0
1031,29.3,1671.0
1032,26.3,1542.0
1033,33.2,1583.0
1034,34.0,1680.0
1035,27.4,1633.0
1036,43.2,1576.0
1037,32.8,1510.0
1038,19.4,1570.0
1039,24.6,1669.0
1040,21.8,1499.0
1041,31.7,1554.0
1042,26.2,1555.0
1043,30.0,1593.0
1044,20.0,1697.0
1045,23.1,1552.0
1046,24.2,1615.0
1047,23.5,1556.0
1048,33.6,1546.0
1049,22.7,1710.0
1050,23.7,1544.0
1051,27.4,1454.0
1052,22.9,1555.0
1053,21.3,1430.0
1054,29.7,1564.0
1055,28.6,1482.0
1056,31.6,1617.0
1057,31.6,1634.0
1058,20.5,1514.0
1059,33.8,1569.0
1060,28.9,1556.0
1061,35.5,1592.0
1062,19.5,1619.0
1063,28.3,1421.0
1064,22.9,1707.0
1065,33.7,1624.0
1066,30.1,1632.0
1067,26.1,1597.0
1068,43.3,1662.0
1069,31.0,1625.0
1070,27.3,1574.0
1071,29.8,1645.0
1072,23.2,1587.0
1073,29.5,1489.0
1074,34.3,1605.0
1075,41.4,1612.0
1076,22.8,1606.0
1077,28.8,1578.0
1078,18.5,1531.0
1079,26.4,1642.0
1080,18.1,1613.0
1081,22.2,1615.0
1082,33.0,1491.0
1083,23.8,1520.0
1084,28.3,1638.0
1085,20.8,1567.0
1086,31.6,1694.0
1087,29.1,1478.0
1088,34.7,1526.0
1089,23.1,1609.0
1090,19.3,1584.0
1091,28.9,1600.0
1092,39.2,1618.0
1093,27.1,1607.0
1094,23.3,1491.0
1095,36.0,1695.0
1096,23.4,1534.0
1097,21.5,1569.0
1098,29.8,1668.0
1099,48.4,1627.0
1100,28.3,1627.0
1101,36.0,1546.0
1102,21.7,1671.0
1103,19.4,1561.0
1104,28.0,1475.0
1105,23.7,1607.0
1106,50.2,1655.0
1107,26.5,1650.0
1108,28.9,1647.0
1109,49.5,1565.0
1110,22.9,1780.0
1111,26.3,1513.0
1112,20.4,1484.0
1113,24.5,1610.0
1114,32.1,1641.0
1115,24.6,1527.0
1116,41.6,1639.0
1117,31.8,1648.0
1118,39.9,1732.0
1119,28.7,1473.0
1120,19.9,1694.0
1121,31.6,1530.0
1122,26.8,1595.0
1123,26.4,1631.0
1124,26.4,1596.0
1125,38.8,1828.0
1126,19.5,1549.0
1127,28.0,1636.0
1128,49.4,1503.0
1129,35.2,1662.0
1130,24.0,1589.0
1131,25.1,1656.0
1132,34.7,1689.0
1133,20.4,1490.0
1134,27.6,1576.0
1135,23.0,1504.0
1136,25.3,1637.0
1137,27.6,1566.0
1138,30.1,1489.0
1139,30.9,1655.0
1140,29.2,1648.0
1141,25.0,1657.0
1142,29.8,1641.0
1143,22.2,1475.0
1144,32.8,1550.0
1145,26.3,1623.0
1146,28.2,1587.0
1147,36.3,1505.0
1148,36.9,1547.0
1149,46.0,1558.0
1150,22.3,1508.0
1151,18.4,1668.0
1152,29.5,1452.0
1153,35.5,1675.0
1154,24.0,1580.0
1155,38.6,1607.0
1156,38.5,1569.0
1157,39.2,1704.0
1158,27.5,1618.0
1159,21.8,1579.0
1160,26.6,1658.0
1161,24.2,1586.0
1162,25.9,1488.0
1163,21.6,1616.0
1164,33.3,1737.0
1165,23.1,1675.0
1166,26.9,1721.0
1167,32.6,1537.0
1168,27.2,1583.0
1169,30.1,1583.0
1170,33.2,1527.0
1171,23.2,1523.0
1172,37.9,1573.0
1173,31.2,1529.0
1174,35.1,1517.0
1175,23.4,1673.0
1176,26.3,1705.0
1177,41.4,1539.0
1178,36.5,1550.0
1179,29.9,1541.0
1180,22.5,1548.0
1181,25.5,1597.0
1182,31.0,1588.0
1183,30.2,1456.0
1184,28.9,1600.0
1185,24.5,1456.0
1186,18.2,1587.0
1187,41.5,1615.0
1188,21.7,1635.0
1189,23.2,1745.0
1190,24.3,1619.0
1191,39.4,1510.0
1192,28.1,1709.0
1193,31.0,1500.0
1194,39.0,1625.0
1195,35.5,1514.0
1196,39.7,1533.0
1197,41.1,1568.0
1198,20.0,1731.0
1199,33.0,1539.0
1200,28.8,1582.0
1201,35.9,1692.0
1202,36.3,1739.0
1203,27.0,1536.0
1204,28.1,1666.0
1205,25.9,1660.0
1206,21.9,1615.0
1207,25.7,1592.0
1208,38.4,1523.0
1209,24.4,1568.0
1210,26.1,1619.0
1211,31.5,1598.0
1212,31.2,1519.0
1213,32.0,1442.0
1214,25.1,1730.0
1215,31.9,1542.0
1216,31.1,1589.0
1217,23.9,1693.0
1218,24.9,1604.0
1219,31.7,1532.0
1220,38.5,1622.0
1221,22.3,1409.0
1222,44.7,1495.0
1223,21.1,1562.0
1224,24.3,1630.0
1225,24.0,1658.0
1226,47.6,1501.0
1227,27.0,1672.0
1228,30.5,1597.0
1229,27.2,1467.0
1230,30.1,1611.0
1231,28.3,1580.0
1232,30.6,1557.0
1233,37.8,1562.0
1234,32.2,1586.0
1235,35.0,1502.0
1236,27.6,1612.0
1237,53.9,1518.0
1238,37.5,1543.0
1239,27.6,1519.0
1240,36.2,1602.0
1241,38.8,1522.0
1242,37.2,1672.0
1243,33.1,1539.0
1244,30.7,1454.0
1245,30.0,1585.0
1246,31.8,1564.0
