index,male_bmi,male_stature_mm
507,23.2,1754.0
508,27.5,1688.0
509,26.7,1713.0
510,28.9,1753.0
511,41.7,1587.0
512,22.0,1724.0
513,34.4,1725.0
514,31.2,1753.0
515,38.9,1696.0
516,24.6,1762.0
517,28.9,1854.0
518,23.6,1769.0
519,30.3,1640.0
520,25.8,1689.0
521,24.7,1728.0
522,35.1,1618.0
523,26.3,1714.0
524,27.0,1763.0
525,24.8,1605.0
526,33.6,1701.0
527,23.8,1560.0
528,25.9,1658.0
529,30.9,1803.0
530,32.5,1625.0
531,33.4,1773.0
532,22.5,1692.0
533,30.5,1682.0
534,22.8,1648.0
535,25.6,1713.0
536,21.3,1699.0
537,52.3,1759.0
538,18.1,1781.0
539,24.1,1769.0
540,23.2,1678.0
541,28.2,1862.0
542,30.2,1827.0
543,29.9,1653.0
544,30.8,1768.0
545,32.2,1842.0
546,31.8,1730.0
547,27.8,1720.0
548,28.6,1787.0
549,22.2,1733.0
550,35.4,1672.0
551,34.7,1830.0
552,26.1,1617.0
553,39.9,1678.0
554,33.0,1756.0
555,42.3,1823.0
556,26.6,1897.0
557,29.9,1787.0
558,31.1,1732.0
559,28.7,1686.0
560,30.9,1691.0
561,24.2,1743.0
562,37.6,1789.0
563,34.9,1639.0
564,26.7,1699.0
565,26.2,1722.0
566,39.0,1766.0
567,29.6,1714.0
568,28.7,1684.0
569,24.2,1635.0
570,27.4,1620.0
571,18.0,1748.0
572,26.4,1732.0
573,26.1,1796.0
574,28.2,1788.0
575,28.8,1693.0
576,24.3,1903.0
577,38.6,1644.0
578,23.9,1682.0
579,30.2,1744.0
580,31.7,1826.0
581,24.3,1633.0
582,31.2,1715.0
583,32.4,1662.0
584,40.4,1761.0
585,31.6,1909.0
586,23.8,1665.0
587,22.2,1653.0
588,21.9,1613.0
589,22.9,1508.0
590,29.6,1723.0
591,21.1,1754.0
592,23.6,1751.0
593,39.3,1682.0
594,42.7,1774.0
595,36.2,1715.0
596,37.5,1745.0
597,31.4,1678.0
598,22.9,1671.0
599,33.3,1673.0
600,23.1,1662.0
601,27.2,1706.0
602,26.3,1672.0
603,27.6,1873.0
604,22.3,1735.0
605,26.4,1818.0
606,29.7,1655.0
607,31.2,1704.0
608,24.8,1776.0
609,35.7,1735.0
610,31.7,1695.0
611,28.7,1680.0
612,30.0,1803.0
613,30.8,1723.0
614,24.4,1722.0
615,30.4,1718.0
616,29.1,1685.0
617,25.8,1716.0
618,32.2,1808.0
619,29.9,1786.0
620,27.5,1726.0
621,44.6,1796.0
622,28.2,1706.0
623,38.5,1755.0
624,28.2,1797.0
625,23.9,1648.0
626,17.7,1673.0
627,27.9,1723.0
628,21.2,1899.0
629,24.0,1866.0
630,32.9,1804.0
631,23.8,1667.0
632,28.6,1605.0
633,25.5,1730.0
634,33.3,1606.0
635,37.9,1866.0
636,31.9,1803.0
637,23.1,1775.0
638,27.0,1725.0
639,33.8,1730.0
640,33.4,1833.0
641,24.3,1714.0
642,23.0,1652.0
643,35.4,1837.0
644,36.8,1717.0
645,21.7,1902.0
646,28.3,1672.0
647,48.1,1736.0
648,22.3,1708.0
649,26.6,1654.0
650,25.2,1731.0
651,43.2,1669.0
652,24.8,1526.0
653,30.6,1730.0
654,28.2,1678.0
655,27.7,1676.0
656,25.4,1709.0
657,25.5,1591.0
658,25.3,1890.0
659,27.3,1763.0
660,27.2,1773.0
661,31.0,1811.0
662,33.7,1768.0
663,31.5,1785.0
664,26.6,1744.0
665,34.3,1790.0
666,30.5,1727.0
667,26.6,1706.0
668,23.5,1716.0
669,30.1,1825.0
670,27.1,1811.0
671,31.1,1886.0
672,27.4,1658.0
673,24.7,1714.0
674,25.6,1765.0
675,24.4,1747.0
676,29.5,1801.0
677,24.2,1668.0
678,26.6,1774.0
679,31.2,1725.0
680,28.2,1746.0
681,28.7,1738.0
682,48.3,1796.0
683,22.7,1717.0
684,26.0,1745.0
685,26.0,1726.0
686,26.6,1812.0
687,21.4,1682.0
688,27.9,1783.0
689,28.7,1710.0
690,29.8,1829.0
691,23.9,1743.0
692,31.1,1619.0
693,27.9,1699.0
694,31.7,1724.0
695,36.7,1744.0
696,25.8,1675.0
697,24.1,1828.0
698,29.2,1824.0
699,23.5,1688.0
700,39.9,1716.0
701,27.5,1742.0
702,22.5,1596.0
703,34.9,1802.0
704,25.9,1643.0
705,23.7,1753.0
706,37.2,1820.0
707,27.6,1728.0
708,27.2,1836.0
709,30.4,1722.0
710,27.2,1702.0
711,43.1,1827.0
712,23.4,1833.0
713,28.2,1832.0
714,23.9,1732.0
715,21.1,1753.0
716,25.4,1822.0
717,27.0,1626.0
718,39.9,1628.0
719,28.4,1667.0
720,32.7,1753.0
721,29.2,1797.0
722,26.5,1633.0
723,22.2,1713.0
724,28.3,1684.0
725,24.3,1815.0
726,24.4,1571.0
727,29.5,1693.0
728,17.9,1745.0
729,27.4,1570.0
730,27.3,1696.0
731,28.7,1688.0
732,23.6,1804.0
733,31.6,1695.0
734,25.1,1687.0
735,20.8,1735.0
736,40.4,1722.0
737,43.7,1758.0
738,31.6,1763.0
739,27.5,1910.0
740,30.6,1694.0
741,27.8,1780.0
742,33.6,1758.0
743,24.5,1747.0
744,26.2,1648.0
745,33.2,1837.0
746,33.8,1827.0
747,40.7,1638.0
748,32.7,1742.0
749,16.9,1646.0
750,21.6,1650.0
751,27.3,1726.0
752,30.2,1752.0
753,25.0,1600.0
754,31.9,1813.0
755,23.9,1712.0
756,18.4,1591.0
757,25.9,1796.0
758,21.6,1787.0
759,30.7,1596.0
760,21.5,1735.0
761,23.5,1640.0
762,34.0,1806.0
763,31.1,1706.0
764,38.2,1703.0
765,22.9,1625.0
766,32.3,1632.0
767,28.2,1856.0
768,24.0,1753.0
769,26.2,1673.0
770,25.9,1790.0
771,31.2,1808.0
772,27.5,1567.0
773,29.4,1592.0
774,25.9,1750.0
775,33.5,1787.0
776,30.6,1695.0
777,29.6,1736.0
778,35.4,1753.0
779,31.6,1725.0
780,27.8,1797.0
781,26.0,1697.0
782,32.4,1731.0
783,23.9,1702.0
784,18.5,1801.0
785,29.4,1805.0
786,25.3,1523.0
787,33.2,1744.0
788,48.5,1863.0
789,25.8,1763.0
790,26.1,1722.0
791,25.8,1740.0
792,30.1,1799.0
793,20.2,1715.0
794,43.1,1845.0
795,27.0,1743.0
796,31.3,1756.0
797,28.9,1667.0
798,32.4,1719.0
799,23.5,1803.0
800,27.5,1557.0
801,29.1,1743.0
802,26.0,1744.0
803,28.0,1580.0
804,26.5,1564.0
805,23.5,1706.0
806,25.8,1694.0
807,27.7,1765.0
808,21.8,1662.0
809,30.6,1755.0
810,27.7,1747.0
811,31.2,1784.0
812,26.0,1727.0
813,44.8,1663.0
814,26.4,1735.0
815,22.6,1812.0
816,21.8,1744.0
817,33.8,1640.0
818,33.0,1704.0
819,26.6,1770.0
820,25.0,1712.0
821,21.1,1674.0
822,24.3,1727.0
823,24.3,1774.0
824,28.8,1624.0
825,20.4,1707.0
826,32.6,1773.0
827,25.9,1778.0
828,26.5,1707.0
829,22.6,1703.0
830,23.1,1700.0
831,23.2,1756.0
832,23.9,1697.0
833,22.8,1728.0
834,27.3,1854.0
835,24.0,1807.0
836,49.4,1737.0
837,20.9,1756.0
838,22.9,1753.0
839,43.7,1646.0
840,38.0,1775.0
841,30.2,1691.0
842,29.4,1854.0
843,38.4,1653.0
844,28.6,1653.0
845,28.0,1765.0
846,21.7,1742.0
847,29.0,1837.0
848,19.5,1717.0
849,25.8,1698.0
850,20.7,1655.0
851,28.5,1835.0
852,24.7,1729.0
853,26.0,1736.0
854,38.1,1756.0
855,21.4,1768.0
856,24.7,1694.0
857,36.9,1970.0
858,30.9,1676.0
859,35.5,1735.0
860,25.9,1869.0
861,23.0,1697.0
862,28.6,1821.0
863,24.4,1567.0
864,31.6,1905.0
865,41.3,1597.0
866,26.9,1732.0
867,21.0,1672.0
868,21.9,1561.0
869,27.3,1738.0
870,20.2,1771.0
871,27.9,1672.0
872,19.3,1656.0
873,25.4,1641.0
874,26.1,1726.0
875,30.8,1741.0
876,22.0,1548.0
877,27.3,1746.0
878,26.4,1815.0
879,25.3,1672.0
880,27.8,1798.0
881,17.0,1671.0
882,24.2,1704.0
883,32.2,1831.0
884,27.4,1780.0
885,28.8,1692.0
886,49.4,1729.0
887,28.3,1842.0
888,22.4,1780.0
889,32.2,1744.0
890,29.8,1723.0
891,29.4,1770.0
892,32.5,1764.0
893,23.5,1789.0
894,30.0,1649.0
895,23.3,1738.0
896,24.8,1855.0
897,24.8,1716.0
898,30.6,1688.0
899,28.9,1690.0
900,22.8,1804.0
901,44.5,1837.0
902,29.1,1701.0
903,42.0,1762.0
904,34.7,1826.0
905,34.9,1775.0
906,25.5,1832.0
907,26.1,1760.0
908,20.7,1764.0
909,25.9,1667.0
910,28.5,1856.0
911,29.7,1834.0
912,21.1,1647.0
913,27.7,1699.0
914,18.6,1757.0
915,33.1,1727.0
916,20.6,1760.0
917,25.6,1632.0
918,30.6,1705.0
919,30.0,1651.0
920,30.5,1789.0
921,25.4,1684.0
922,28.1,1816.0
923,37.4,1792.0
924,25.9,1623.0
925,21.8,1731.0
926,36.5,1786.0
927,23.7,1675.0
928,24.7,1796.6
929,27.9,1809.0
930,24.5,1831.0
931,24.0,1817.0
932,26.5,1640.0
933,20.9,1761.0
934,24.7,1791.0
935,29.9,1817.0
936,30.4,1806.0
937,29.6,1728.0
938,28.5,1577.0
939,25.1,1920.0
940,21.6,1630.0
941,21.5,1630.0
942,23.9,1716.0
943,29.0,1684.0
944,27.6,1713.0
945,38.4,1722.0
946,31.8,1730.0
947,27.9,1789.0
948,23.9,1731.0
949,41.3,1853.0
950,39.8,1730.0
951,34.4,1777.0
952,26.3,1722.0
953,44.1,1872.0
954,22.9,1651.0
955,29.2,1760.0
956,24.6,1739.0
957,30.7,1780.0
958,37.0,1751.0
959,27.4,1725.0
960,28.4,1774.0
961,43.3,1732.0
962,32.0,1751.0
963,27.9,1622.0
964,28.7,1689.0
965,20.0,1684.0
966,27.0,1641.0
967,28.1,1620.0
968,20.8,1619.0
969,25.5,1680.0
970,28.7,1830.0
971,27.9,1724.0
972,29.9,1683.0
973,38.1,1792.0
974,35.7,1762.0
975,26.8,1693.0
976,28.0,1644.0
977,34.9,1810.0
978,30.6,1833.0
979,25.1,1832.0
980,29.0,1674.0
981,24.3,1843.0
982,50.6,1907.0
983,23.8,1699.0
984,20.1,1788.0
985,30.5,1704.0
986,26.8,1688.0
987,45.0,1765.0
988,17.8,1762.0
989,22.9,1644.0
990,24.7,1652.0
991,28.3,1608.0
992,23.7,1660.0
993,21.5,1837.0
994,29.1,1589.0
995,32.5,1689.0
996,25.5,1701.0
997,24.2,1606.0
998,32.6,1769.0
999,24.9,1673.0
1000,28.4,1626.0
1001,25.3,1834.0
1002,22.8,1712.0
1003,26.4,1588.0
1004,27.7,1743.0
1005,27.1,1664.0
1006,34.8,1753.0
1007,29.4,1747.0
1008,22.3,1808.0
1009,23.3,1686.0
1010,17.7,1637.0
1011,33.0,1716.0
1012,27.5,1708.0
1013,25.9,1620.0
1014,29.3,1740.0
1015,34.2,1700.0
1016,22.4,1642.0
1017,40.3,1863.0
1018,26.7,1651.0
1019,26.9,1770.0
1020,25.7,1694.0
1021,26.9,1773.0
1022,30.8,1715.0
1023,31.2,1756.0
1024,29.0,1879.0
1025,25.6,1759.0
1026,31.0,1782.0
1027,29.6,1850.0
1028,24.0,1697.0
1029,23.6,1775.0
1030,30.9,1598.0
1031,27.0,1833.0
1032,27.4,1675.0
1033,39.2,1707.0
1034,25.7,1595.0
1035,31.6,1807.0
1036,23.6,1731.0
1037,28.4,1537.0
1038,32.4,1768.0
1039,23.9,1741.0
1040,26.2,1699.0
1041,21.4,1602.0
1042,28.2,1766.0
1043,46.8,1719.0
1044,22.0,1635.0
1045,26.6,1667.0
1046,23.5,1756.0
1047,32.0,1758.0
1048,19.6,1744.0
1049,27.2,1677.0
1050,33.2,1706.0
1051,32.0,1677.0
1052,27.9,1852.0
1053,27.0,1636.0
1054,20.7,1637.0
1055,29.3,1691.0
1056,26.2,1681.0
1057,25.9,1781.0
1058,30.9,1735.0
1059,26.1,1562.0
1060,31.1,1711.0
1061,20.4,1638.0
1062,24.0,1793.0
1063,34.3,1763.0
1064,32.2,1584.0
1065,24.9,1729.0
1066,25.7,1705.0
1067,34.2,1748.0
1068,28.4,1635.0
1069,51.2,1728.0
1070,26.1,1630.0
1071,31.3,1670.0
1072,32.1,1692.0
1073,34.5,1726.0
1074,27.9,1701.0
1075,32.4,1586.0
1076,25.3,1806.0
1077,35.4,1733.0
1078,34.8,1850.0
1079,25.7,1831.0
1080,26.1,1664.0
1081,43.8,1779.0
1082,34.9,1703.0
1083,27.6,1619.0
1084,23.7,1752.0
1085,27.6,1739.0
1086,30.1,1822.0
1087,26.7,1590.0
1088,32.5,1816.0
1089,19.1,1820.0
1090,22.4,1872.0
1091,27.5,1703.0
1092,28.4,1786.0
1093,31.9,1820.0
1094,25.8,1753.0
1095,25.9,1672.0
1096,34.1,1795.0
1097,32.4,1559.0
1098,27.9,1747.0
1099,26.6,1701.0
1100,26.6,1711.0
1101,32.0,1812.0
1102,28.9,1621.0
1103,33.2,1881.0
1104,29.0,1759.0
1105,28.0,1605.0
1106,30.8,1744.0
1107,27.4,1799.0
1108,27.8,1755.0
1109,28.8,1715.0
1110,21.6,1714.0
1111,32.6,1704.0
1112,31.1,1705.0
1113,25.3,1794.0
1114,29.2,1695.0
1115,29.2,1653.0
1116,51.8,1691.0
1117,28.9,1824.0
1118,30.5,1805.0
1119,25.0,1581.0
1120,19.7,1704.0
1121,26.5,1867.0
1122,22.4,1769.0
1123,25.0,1678.0
1124,24.8,1678.0
1125,26.1,1794.0
1126,15.4,1817.0
1127,24.8,1706.0
1128,25.5,1778.0
1129,30.8,1737.0
1130,25.7,1757.0
1131,23.8,1739.0
1132,42.5,1620.0
1133,39.6,1782.0
1134,23.7,1807.0
1135,23.3,1700.0
1136,32.7,1811.0
1137,31.0,1739.0
1138,31.8,1922.0
1139,26.3,1889.0
1140,20.1,1818.0
1141,19.8,1665.0
1142,40.7,1717.0
1143,18.1,1555.0
1144,26.5,1634.0
1145,39.4,1693.0
1146,27.3,1748.0
1147,27.8,1670.0
1148,26.7,1711.0
1149,31.0,1792.0
1150,20.1,1791.0
1151,36.4,1772.0
1152,23.7,1831.0
1153,29.4,1764.0
1154,30.4,1537.0
1155,21.7,1721.0
1156,30.6,1773.0
1157,23.6,1748.0
1158,27.0,1776.0
1159,41.5,1659.0
1160,28.3,1671.0
1161,32.1,1800.0
1162,21.9,1744.0
1163,22.1,1716.0
1164,23.7,1776.0
1165,29.3,1684.0
1166,30.5,1695.0
1167,33.0,1754.0
1168,26.3,1594.0
1169,33.4,1647.0
1170,37.0,1674.0
1171,27.5,1563.0
1172,30.4,1876.0
1173,25.9,1710.0
1174,28.6,1701.0
1175,30.8,1784.0
1176,32.2,1708.0
1177,23.5,1642.0
1178,25.7,1664.0
1179,31.0,1766.0
1180,27.1,1914.0
1181,28.7,1839.0
1182,29.9,1729.0
1183,25.4,1654.0
1184,24.5,1699.0
1185,32.7,1765.0
1186,35.0,1717.0
1187,46.3,1649.0
1188,28.1,1726.0
1189,29.4,1671.0
1190,41.5,1726.0
1191,28.0,1677.0
1192,47.6,1647.0
1193,45.8,1881.0
1194,25.6,1808.0
1195,25.9,1750.0
1196,23.5,1803.0
1197,28.9,1880.0
1198,24.5,1565.0
1199,33.4,1696.0
1200,26.5,1754.0
1201,26.8,1868.0
1202,33.1,1772.0
1203,26.5,1711.0
1204,27.1,1620.0
1205,25.8,1873.0
1206,28.7,1666.0
1207,27.4,1670.0
1208,28.3,1854.0
1209,28.6,1633.0
1210,26.7,1768.0
1211,26.8,1649.0
1212,38.8,1806.0
1213,31.5,1704.0
1214,31.5,1726.0
1215,31.1,1879.0
1216,28.0,1665.0
1217,35.7,1838.0
1218,31.3,1649.0
1219,25.7,1595.0
1220,26.6,1803.0
1221,18.6,1611.0
1222,35.0,1709.0
1223,20.8,1731.0
1224,23.5,1796.0
1225,26.2,1696.0
1226,30.9,1737.0
1227,32.2,1745.0
1228,23.2,1797.0
1229,28.7,1625.0
1230,29.9,1688.0
1231,18.5,1676.0
1232,22.5,1694.0
1233,25.0,1709.0
1234,19.1,1625.0
1235,25.2,1760.0
1236,25.5,1683.0
1237,22.6,1739.0
1238,23.8,1691.0
1239,25.7,1700.0
1240,28.5,1707.0
1241,27.4,1769.0
1242,23.4,1867.0
1243,19.2,1640.0
1244,27.0,1730.0
1245,21.1,1742.0
1246,23.9,1663.0
